,ID,Title,Year,Rating,Genres,Director,Top_Cast_Member,Revenue,Production_Companies
0,637,Life Is Beautiful,1997,8.5,"['Comedy', 'Drama']",Roberto Benigni,Roberto Benigni,230098753,"['Mario e Vittorio Cecchi Gori - C.E.I.A.D.', 'Melampo Cinematografica']"
1,128,Princess Mononoke,1997,8.3,"['Adventure', 'Fantasy', 'Animation']",Hayao Miyazaki,Youji Matsuda,169000000,"['Studio Ghibli', 'Nibariki', 'dentsu Music And Entertainment', 'TNDG', 'Tokuma Shoten', 'Nippon Television Network Corporation', 'dentsu']"
2,18491,Neon Genesis Evangelion: The End of Evangelion,1997,8.3,"['Animation', 'Science Fiction', 'Action', 'Drama']",Hideaki Anno,Megumi Ogata,20000000,"['GAINAX', 'movic', 'Star Child Recording', 'TV Tokyo', 'Production I.G', 'KADOKAWA Shoten', 'Toei Company', 'SEGA']"
3,489,Good Will Hunting,1997,8.1,['Drama'],Gus Van Sant,Matt Damon,225900000,"['Miramax', 'Lawrence Bender Productions', 'Be Gentlemen Limited Partnership']"
4,38286,Three Men and a Leg,1997,8.0,['Comedy'],Massimo Venier,Aldo Baglio,0,"['Rodeo Drive', 'A.Gi.Di.', 'Medusa Film']"
5,21334,Children of Heaven,1997,7.9,"['Drama', 'Family']",Majid Majidi,Reza Naji,925402,"['Kanoon', 'Miramax']"
6,597,Titanic,1997,7.9,"['Drama', 'Romance']",James Cameron,Leonardo DiCaprio,2264162353,"['Paramount', '20th Century Fox', 'Lightstorm Entertainment']"
7,2118,L.A. Confidential,1997,7.8,"['Crime', 'Mystery', 'Thriller']",Curtis Hanson,Russell Crowe,126200000,"['Regency Enterprises', 'Warner Bros. Pictures', 'The Wolper Organization']"
8,16052,Selena,1997,7.7,"['Drama', 'Music', 'History']",Gregory Nava,Jennifer Lopez,60000000,"['Esparza / Katz Productions', 'Q Productions']"
9,5910,Fireworks,1997,7.7,"['Crime', 'Drama']",Takeshi Kitano,Takeshi Kitano,0,"['Bandai Visual', 'Office Kitano', 'TV Tokyo', 'Tokyo FM']"
10,13929,Geri's Game,1997,7.7,"['Animation', 'Family']",Jan Pinkava,Bob Peterson,0,"['Pixar', 'Walt Disney Pictures']"
11,30020,Taste of Cherry,1997,7.6,['Drama'],Abbas Kiarostami,Homayoun Ershadi,0,"['Kanoon', 'Abbas Kiarostami Productions', 'CiBy 2000']"
12,4995,Boogie Nights,1997,7.6,['Drama'],Paul Thomas Anderson,Mark Wahlberg,43101594,"['New Line Cinema', 'Lawrence Gordon Productions']"
13,9444,Anastasia,1997,7.6,"['Animation', 'Family', 'Fantasy', 'Adventure']",Gary Goldman,Meg Ryan,139804348,"['Fox Animation Studios', 'Fox Family Films', 'The Big Gun Project', 'Little Wolf Entertainment', '20th Century Fox']"
14,18329,Happy Together,1997,7.6,"['Drama', 'Romance']",Wong Kar-wai,Leslie Cheung,5000000,"['Jet Tone Production', 'Block 2 Pictures', 'Prénom H Co. Ltd.']"
15,638,Lost Highway,1997,7.6,"['Drama', 'Thriller', 'Mystery']",David Lynch,Bill Pullman,3756869,"['CiBy 2000', 'October Films', 'Asymmetrical Productions', 'Lost Highway Productions']"
16,2649,The Game,1997,7.6,"['Drama', 'Thriller', 'Mystery']",David Fincher,Michael Douglas,109423648,"['PolyGram Filmed Entertainment', 'Propaganda Films']"
17,782,Gattaca,1997,7.6,"['Thriller', 'Science Fiction', 'Mystery', 'Romance']",Andrew Niccol,Ethan Hawke,12532777,"['Jersey Films', 'Columbia Pictures']"
18,9366,Donnie Brasco,1997,7.5,"['Crime', 'Drama', 'Thriller']",Mike Newell,Johnny Depp,124909762,"['Phoenix Pictures', 'Mark Johnson Productions', 'Baltimore Pictures', 'TriStar Pictures', 'Mandalay Pictures']"
19,18,The Fifth Element,1997,7.5,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']",Luc Besson,Bruce Willis,263920180,"['Gaumont', 'Buena Vista International']"
20,73,American History X,1998,8.4,['Drama'],Tony Kaye,Edward Norton,23875127,"['New Line Cinema', 'Savoy Pictures', 'The Turman-Morrissey Company']"
21,10494,Perfect Blue,1998,8.3,"['Animation', 'Thriller']",Satoshi Kon,Junko Iwao,112536,"['Madhouse', 'Rex Entertainment', 'Kotobuki Seihan Printing', 'Asahi Broadcasting Corporation', 'Fangs Co.']"
22,10376,The Legend of 1900,1998,8.3,"['Drama', 'Music']",Giuseppe Tornatore,Tim Roth,21057208,"['Medusa Film', 'Sciarlò']"
23,857,Saving Private Ryan,1998,8.2,"['Drama', 'History', 'War']",Steven Spielberg,Tom Hanks,481840909,"['DreamWorks Pictures', 'Paramount', 'Amblin Entertainment', 'Mutual Film Company']"
24,666,Central Station,1998,8.1,['Drama'],Walter Salles,Fernanda Montenegro,5596708,"['MACT Productions', 'Videofilms', 'Riofilm']"
25,37165,The Truman Show,1998,8.1,"['Comedy', 'Drama']",Peter Weir,Jim Carrey,264118201,"['Paramount', 'Scott Rudin Productions']"
26,100,"Lock, Stock and Two Smoking Barrels",1998,8.1,"['Comedy', 'Crime']",Guy Ritchie,Jason Flemyng,28356188,"['Summit Entertainment', 'The Steve Tisch Company', 'SKA Films', 'PolyGram Filmed Entertainment', 'HandMade Films']"
27,10674,Mulan,1998,7.9,"['Animation', 'Family', 'Adventure']",Tony Bancroft,Ming-Na Wen,304320254,"['Walt Disney Pictures', 'Walt Disney Feature Animation']"
28,115,The Big Lebowski,1998,7.8,"['Comedy', 'Crime']",Joel Coen,Jeff Bridges,47010480,"['PolyGram Filmed Entertainment', 'Working Title Films']"
